num_units,AUCROC,AUCPR
,,
10,0.7513426997937421,0.29144146505771207
100,0.7947423015377019,0.34455699111341787
110,0.798789893385061,0.34517351930943424
120,0.796576131387004,0.34440262798047505
130,0.7967045297885866,0.3439436197637356
140,0.798881229053324,0.3479235163204778
150,0.7980622877525028,0.3507522495382357
160,0.7983383874468644,0.35012499680895104
170,0.8004671509733142,0.3482194442509109
180,0.7989803485254078,0.3494881267038184
190,0.8004176241998285,0.3509745057371441
20,0.7699055388881413,0.3103506758579713
200,0.8015873466585929,0.35174809143509056
210,0.7993704118018112,0.34999971831619797
220,0.8000054462466651,0.3506965780150241
230,0.8020853118659724,0.3501393905103371
240,0.8021015966027794,0.3474072058250341
250,0.801642349632276,0.3524279664979849
260,0.7978177712989682,0.34755548026779665
270,0.8021272898925769,0.35185361941123305
280,0.8004044675265052,0.3501478187159372
290,0.801313788372074,0.3500311704136992
30,0.7784544950318163,0.3199429052262015
300,0.802855971671118,0.3507233056503156
310,0.8013771536159671,0.34883516015153115
320,0.8022043559011378,0.35273099893125515
330,0.8023990533863121,0.34769692509091654
340,0.8055309364562548,0.35617790871284305
350,0.8027248724838352,0.34816639784475506
360,0.8039698995793341,0.3519505449403145
370,0.802349114364093,0.3512266017731177
380,0.8035078003715317,0.35212169679409305
390,0.8032982651304659,0.35303603320742777
40,0.7843521182789613,0.3275948750990499
400,0.8035611848580223,0.3482916802863966
410,0.8033155569064452,0.3509810855667927
420,0.8045832580027718,0.3550153758929685
430,0.803993273470221,0.3545493434055181
440,0.8056519723110304,0.3524453722722671
450,0.8035876629855812,0.34979651794936784
460,0.8046058608178476,0.35205871461204
470,0.8061126857365215,0.3532397596968861
480,0.8046666384060448,0.35087267587419557
490,0.8040049848224086,0.35393160181451744
50,0.7864072270263354,0.33065246026003065
500,0.8061422962895824,0.35769202547119694
60,0.7885922940077881,0.3344048238482956
70,0.7917979752042349,0.34191796031105043
80,0.7924506448062864,0.3387381250305651
90,0.7943962276142236,0.338556929415709
